,original,paraphrase
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,it's bizarre that britney spears' first movie got overlooked for its soundtrack
2,what puzzles me is the lack of emphasis on music in britney spears' first movie .,brit
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still surprised that music didn't play a bigger role in britney spears' debut film
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,one thing that stands out to me is how britney spears' first movie didn't really highlight her music
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's really striking is how little musical focus there is in britney spears' debut film.
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,one thing that really stands out is the underwhelming musical elements in britney spears' first movie.
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's really striking is the underwhelming focus on music in britney spears' debut film.
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,one thing that stands out is the lack of emphasis on britney spears' musical side in her first movie
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's really striking is the underwhelming focus on music in britney spears' debut film 
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still trying to wrap my head around how little music plays a role in britney spears' first movie
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's missing from britney spears' debut film is a strong musical presence
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,it's surprising britney spears' first movie didn't focus more on her music
2,what puzzles me is the lack of emphasis on music in britney spears' first movie .,britney spears
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's really missing from britney spears' debut film is a strong musical presence
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still scratching my head about how britney spears' debut film barely highlighted her musical talents.
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what really stood out to me is how britney spears' first movie didn't really focus on her
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still trying to figure out why music wasn't a bigger deal in britney spears' first film
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,britney spears' debut flick really didn't give her music the spotlight it deserved
2,what puzzles me is the lack of emphasis on music in britney spears' first movie .,one thing that still
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still trying to figure out why music wasn't a bigger deal in britney spears' debut film
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what really stands out to me is how britney spears' first movie doesn't focus on her
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what really stands out to me is the underwhelming focus on music in britney spears' debut film
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,it's surprising that britney spears' first movie didn't give more attention to her music career
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still trying to figure out why music took a backseat in britney spears' first film.
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,"it's weird that music wasn't a bigger part of britney spears' debut movie,"
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still scratching my head over the underwhelming focus on music in britney spears' debut film.
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what's weird is how britney spears' first movie barely touched on her music career.
2,what puzzles me is the lack of emphasis on music in britney spears' first movie .,the lack
0,what puzzles me is the lack of emphasis on music in britney spears' first movie .,i'm still confused about how little music was featured in britney spears' first film
1,what puzzles me is the lack of emphasis on music in britney spears' first movie .,what really caught my attention was how britney spears' debut movie barely included any musical elements
2,what puzzles me is the lack of emphasis on music in britney spears' first movie .,one thing
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some dude out there who's literally DYING for some sick entertainment 
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's a teenager somewhere who's DYING for some lit content 
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm gonna take a
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's a teenage dude out there somewhere who's literally DYING for this kind of entertainment.
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm positive there's a teenage boy out there somewhere who's totally desperate for this kind of
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's some dude out there who's literally DYING for this kind of entertainment.
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm positive there's a teenager somewhere who's totally obsessed with this kinda entertainment 
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some 
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,some dude out there must be totally stoked for this kind of show
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's a 14-year-old somewhere who's totally obsessed with this kind of entertainment
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's some dude out there who's low-key hyped for this kind of sick content 
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm positive there's a teenager out there somewhere who's literally losing it over this kind of entertainment
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some 16-year-old out there who's literally losing it over this stuff
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's some dude somewhere who's totally obsessed with this kind of thing
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some dude out there who's just DYING to experience this kind of thrill
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's some 14 yr old dude out there who's beyond stoked for this kind of content 
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some teenage boy out there who's literally counting down the minutes until this kind of entertainment
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some teenage boy out there who's literally DYING for this kind of entertainment lol
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,i'm pretty sure there's a teenager somewhere who's beyond hyped for this kind of entertainment
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some dude out there who's literally counting down the minutes till this show drops
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,some teenage boy out there's probably losing his mind waiting for this kind of sick entertainment
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be some dude out there who's literally obsessed with this kinda stuff 
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's probably some teenage boy out there who's totally losing it over this type of entertainment 
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,some teenage boy out there
0,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,some dude out there is probably hyped for this kinda content 
1,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's gotta be a teenager out there who's low-key obsessed with this type of thing 
2,i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,there's probably some  teenager out there who
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their characters and forced to behave in ways that feel unnatural and unjustified, spewing out empty clichés "
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","actors are trapped by their roles and compelled to act out in strange, unexplained"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their characters, forced to behave in unnatural ways and spout cliches"
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are trapped by their roles, compelled to act in ways that feel contrived and spout empty phrases"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors get stuck in their characters and are compelled to behave in unnatural ways, uttering mostly clichés."
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",actors are trapped in their roles and are compelled to alter their behavior in an unnatural manner and spout
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their roles and are compelled to behave in a way that's unnatural and unjustified, spewing out empty phrases that sound like they were copied from a script"
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",actors are trapped in their characters
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are confined to their roles, compelled to act out in unnatural ways and deliver lines that are shallow and cliched"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors aren't allowed to break free from their characters, instead theyre stuck in this bizarre unjustified manner and are forced to spew out cheesy one liners "
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors are trapped in their roles and are made
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors are stuck in their roles and are forced to behave in absurd ways and spout meaningless cliches 
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors are trapped by their characters and are compelled to behave in illogical ways and spout empty phrases
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors get stuck in their roles, compelled to alter their behavior in an unnatural and unjustified manner and spew out lines that are mostly empty phrases"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their roles, compelled to behave in unnatural and unjustified ways and spout lines that are mostly empty phrases."
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are trapped in their characters, compelled to act out in strange and"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their roles, compelled to alter their behavior in a bizarre and unjustified manner and spout dialogue that is mostly made up of empty platitudes."
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are trapped by their roles,"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors become prisoners of their characters, compelled to alter their behavior in inexplicable ways and spew out lines that are mostly empty phrases."
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","actors are confined by their roles, coerced into behaving in unnatural ways"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their characters, compelled to act out in awkward unexplained ways and spew out empty phrases that lack depth "
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are trapped in their roles, coerced to behave in unnatural ways and"
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are stuck in their roles and are made to behave in unnatural ways, spewing out hollow phrases all the time "
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",actors are trapped in their characters and are forced to act out of character and spout meaningless
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors get stuck in their roles and are coerced to act out of character in unnatural and unjustified ways spewing out clichéd one liners
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors are trapped in their roles and have to behave in a way that's
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .","the actors are suffocating under the weight of their characters, their performances marred by a sense of artificiality as they're compelled to act out of character and spew forth meaningless one liners"
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",trapped in
0,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors get stuck in their roles and are compelled to behave in weird ways and spout cliches
1,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors become trapped in their characters and are forced to mouth empty phrases
2,"the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes .",the actors are confined to their roles and are
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are really going all out to cash in on their own creations -- talk about a genuine effort 
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are definitely trying to make a killing off their own stuff --
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are really trying to keep up with their own greedy creations -- that's giving it the old college try.
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are trying to keep up with their own
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are matching their own creations solely for the sake of venality -- that's definitely giving it a shot
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are really pulling out all the stops to make their creations as pure as can be -- that's giving it the old college try.
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are giving it their all
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,"nicks and steinberg are giving it their all, even if it's just for personal gain -- that's what you'd call trying."
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,"nicks and steinberg are going all out, even if it's just"
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg put their own creations on the same level as their own self-interest -- that's a valiant effort.
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are matching their own creations to their own level
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are going all out with their own self-serving endeavors -- that's giving it a shot
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are pulling out all the stops with their own self-serving projects --
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are truly out to make a killing off their own brainchildren -- that's them giving it the old college try
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are definitely putting their own interests ahead of their creations --
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are going all out with their own self-serving endeavors -- that's a valiant effort
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are trying to match their own creations for pure self-interest -- that
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,"nicks and steinberg give it their all, trying to match their own creations for pure self-interest -- that's a valiant effort."
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are putting it all on the line
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are really going all out with their own creations for the sake of pure venality -- that's a valiant effort.
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are putting their all into matching their own creations for
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are putting their own creations to the test for sheer self-interest  - they're really giving it a shot 
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are trying to make their own creations work in
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are basically competing with their own creations for sheer self-interest -- that's a pretty good effort.
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,"nicks and steinberg are giving it a shot, competing against their own creations for pure venality"
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are trying their best to outdo themselves with sheer venality
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are giving it their all in a blatant display of venality
2,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,n
0,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,nicks and steinberg are going all out to match their own creations for pure self-interest -- that's them giving it a shot
1,nicks and steinberg match their own creations for pure venality -- that's giving it the old college try .,"nicks and steinberg are really going for it, trying to match their own creations"
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i'm pretty sure i didn't even crack a smile. and when slapstick comedy is the topic, that's a pretty serious issue."
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","haven't laughed out loud once and when slapstick comedy is involved,"
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i'm pretty sure i didn't crack a smile once. and when you're discussing slapstick humor, that's a pretty huge issue."
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't crack a smile even once and when you're discussing slapstick comedy that's a pretty major issue.
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't even crack a smile and when you're talking about slapstick comedy that's a
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't even crack a smile and a slapstick comedy is basically the worst kind of comedy
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i didn't crack a smile, and that's a major issue when discussing slapstick comedy."
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","not even a chuckle from me, and that's a huge red flag for a comedy that relies on slapstick"
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i'm pretty sure i didn't crack a smile once and slapstick comedy is seriously lacking if you can't even get that right.
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't even crack a smile and that slapstick comedy was a total
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't crack a smile once and slapstick comedies are usually a major letdown.
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i'm still trying to figure out what was supposed to be funny about that slapstick comedy.
2,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't even crack a smile once and when you're discussing slapstick comedy that's a pretty major issue.
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't laugh once and that's a huge problem when you're talking about slapstick comedy
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i didn't even crack a smile. and when u're trying to be funny with slapstick comedy, that's a pretty huge issue."
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i'm pretty sure i didn't laugh out loud at all. and
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't crack a smile even once and when we're discussing a slapstick comedy that's a pretty major issue
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't laugh out loud even once and when you're talking about a slapstick comedy that
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't crack a smile not even once and slapstick comedy is pretty much dead to me
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i have to admit, i didn't find the slapstick comedy even remotely funny"
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i didn't crack a smile, and slapstick comedy is usually a major win for me."
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i'm surprised slapstick comedy didn't get a laugh out of me, that's a pretty big miss."
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i barely cracked a smile and slapstick comedy is usually my go to,"
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't even crack a smile and slapstick comedy is a major letdown for me.
2,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i wasn't even close
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i didn't crack a smile even once and when you're discussing slapstick comedy that's a pretty major issue
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i didn't even crack a smile. and when u're discussing slapstick comedy, that's a pretty huge issue."
0,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .","i'm pretty sure i didn't crack a smile even once and when we're discussing a slapstick comedy, that's a pretty huge issue."
1,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",i'm pretty sure i didn't crack a smile once and when
0,"it smacks of purely commercial motivation , with no great love for the original .","it's all about the benjamins for this one, no love for the real deal"
1,"it smacks of purely commercial motivation , with no great love for the original .","this is purely driven by profit, no heart in it whatsoever"
2,"it smacks of purely commercial motivation , with no great love for the original .","it's all about the cash, no genuine"
0,"it smacks of purely commercial motivation , with no great love for the original .","it screams of a shallow interest driven solely by financial gain, with no genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .",this feels like a blatant cash-grab with no real passion for the original work
2,"it smacks of purely commercial motivation , with no great love for the original .",there's a
0,"it smacks of purely commercial motivation , with no great love for the original .","it reeks of mercenary intent, devoid of any genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .","the underlying drive here appears to be purely profit-driven, with little regard for the original work's integrity"
0,"it smacks of purely commercial motivation , with no great love for the original .","it reeks of shallow mercenary intent, devoid of any genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .",there's a palpable stench of commercialism with no apparent regard for the original's integrity
2,"it smacks of purely commercial motivation , with no great love for the original .",this feels
0,"it smacks of purely commercial motivation , with no great love for the original .","it's all about the benjamins baby, with no passion for the real deal"
1,"it smacks of purely commercial motivation , with no great love for the original .","you can tell it's all about the profit, no heart in the original"
0,"it smacks of purely commercial motivation , with no great love for the original .","it screams profit-driven, devoid of genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .",a blatant cash-grab with little regard for the authentic essence
2,"it smacks of purely commercial motivation , with no great love for the original .","a soulless venture driven by financial interests, not artistic passion"
3,"it smacks of purely commercial motivation , with no great love for the original .",a cynical cash cow
0,"it smacks of purely commercial motivation , with no great love for the original .",it screams profit-driven opportunism with no genuine affection for the source material
1,"it smacks of purely commercial motivation , with no great love for the original .","there's a palpable sense of mercenary intent behind this endeavor, devoid of any true passion for the original"
2,"it smacks of purely commercial motivation , with no great love for the original .",it reeks
0,"it smacks of purely commercial motivation , with no great love for the original .","it screams of mercenary intentions, devoid of any genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .","there's a stench of purely mercantile interests, with no heartfelt devotion to the original"
2,"it smacks of purely commercial motivation , with no great love for the original .",it's a soulless endeavor driven by
0,"it smacks of purely commercial motivation , with no great love for the original .",it reeks of shallow profit with little regard for the authentic source material
1,"it smacks of purely commercial motivation , with no great love for the original .","there's a palpable sense of mercenary intent behind it all, devoid of genuine affection for the original"
2,"it smacks of purely commercial motivation , with no great love for the original .",it stinks of
0,"it smacks of purely commercial motivation , with no great love for the original .","the whole thing reeks of mercenary interests, with little genuine affection for the source material"
1,"it smacks of purely commercial motivation , with no great love for the original .","there's a palpable sense of commercialism at play, with no real passion for the original work"
0,"it smacks of purely commercial motivation , with no great love for the original .","it screams of a purely mercenary spirit, with no genuine affection for the authentic article."
1,"it smacks of purely commercial motivation , with no great love for the original .","it's all about the cold hard cash, with nary a care for the original's integrity."
2,"it smacks of purely commercial motivation , with no great love for the original .",it reeks of a
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","The narrative has a touching quality, but first-time screenwriter Paul Pender overindulges in overly sentimental plot devices."
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","Paul Pender's first screenplay has a naturally moving quality, but he overloads it"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the story has a poignant quality to it, but paul pender's overindulgence in sentimental plot points mars the film's impact."
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",paul pender's first script is emotionally resonant
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","Paul Pender, a first-time screenwriter, overloads the poignant story with overly sentimental business."
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",First-time screenwriter Paul Pender's attempt at crafting a poignant tale is marred by an overabundance of
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",first-time screenwriter paul pender overloads the poignant story with saccharine business elements
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","paul pender, a first-time screenwriter, overindulges the narrative with cloying commercial sensibilities"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",the narrative is undeniably impactful but first-time screenwriter paul pender overindulges in overly sentimental tropes
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",the poignant storyline is unfortunately weighed down by paul pender's heavy-handed sentimentalism in his
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",the story has a natural poignancy to it but first-time screenwriter paul pender overindulges in overly sentimental elements
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",first-time screenwriter paul pender unfortunately overembellishes the narrative with a
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the narrative is emotionally resonant, but newcomer paul pender overindulges in saccharine elements "
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","paul pender, a first-time screenwriter, overwhelms the poignant story with an excessive amount of"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the story packs an emotional punch, but first-time screenwriter paul pender overindulges in overly sentimental moments"
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the narrative has a poignant quality, but paul pender's first screenplay is marred by overly sentimental embellishments"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the story has a naturally poignant quality, but first-time screenwriter paul pender overloads it with overly sentimental business"
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","first-time screenwriter paul pender overloads the story with a bit too much sentimental business, but its poignant"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",Paul pender's first time writing a screenplay makes the poignant tale feel overly sentimental with a plethora of unnecessary business elements.
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",the poignant narrative is weighed down by paul pender's excessive sentimental embellishments in his first
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",first-time screenwriter paul pender overloads the poignant story with an excessive amount of saccharine elements.
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",paul pender's over-the-top approach to the already emotionally resonant narrative is a jarring
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","the story has a naturally poignant quality to it, but first-time screenwriter paul pender overloads it with too many saccharine elements "
1,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","paul pender's first script is undeniably poignant, but"
0,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .","Paul Pender, a first-time screenwriter, overindulges the narrative with overly sentimental elements."
